full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/Library/Ossec/ruleset/sca/cis_apple_macOS_13.x.yml,root,som,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-control,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-logcollector,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-execd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-syscheckd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/manage_agents,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/agent-auth,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-agentd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/bin/som-modulesd,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh.exp,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_pixconfig_diff,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_bsd,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_generic_diff,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_integrity_check_linux,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_asa-fwsmconfig_diff,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/main.exp,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_nopass.exp,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/ssh_foundry_diff,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/register_host.sh,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/sshlogin.exp,root,som,750,file,-rwxr-x---,,
/Library/Ossec/agentless/su.exp,root,som,750,file,-rwxr-x---,,
/Library/Ossec/etc/internal_options.conf,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/wpk_root.pem,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/localtime,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/ossec.conf,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/local_internal_options.conf,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/client.keys,root,som,640,file,-rw-r-----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL1_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_audit_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/rootkit_trojans.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_domainL1_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel6_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_memberL2_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_apache2224_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_applications_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_win2012r2_domainL2_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel5_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_debian_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/system_audit_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/win_malware_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel7_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_mysql5-6_enterprise_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/system_audit_ssh.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_mysql5-6_community_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_sles12_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_rhel_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/rootkit_files.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/etc/shared/cis_sles11_linux_rcl.txt,root,som,660,file,-rw-rw----,,
/Library/Ossec/logs/ossec.log,som,som,660,file,-rw-rw----,,
/Library/Ossec/logs/ossec.json,som,som,660,file,-rw-rw----,,
/Library/Ossec/logs/active-responses.log,som,som,660,file,-rw-rw----,,
/Library/Ossec/queue/syscollector/norm_config.json,root,som,750,file,-rwxr-x---,,
/Library/Ossec/lib/libfimdb.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsomshared.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsysinfo.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libdbsync.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/librsync.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsyscollector.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/lib/libsomext.dylib,root,wheel,750,file,-rwxr-x---,,
/Library/Ossec/VERSION.json,som,som,440,file,-r--r-----,,
/Library/Ossec/wodles/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/utils.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/gcloud,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/tools.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/integration.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/exceptions.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/buckets/bucket.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/buckets/access_logs.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/gcloud/pubsub/subscriber.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/docker/DockerListener,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_utils.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure-logs,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/graph.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/storage.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/azure_services/analytics.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/orm.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/utils.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws-s3,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/som_integration.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws_tools.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/cloudtrail.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/config.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/waf.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/guardduty.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/server_access.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/aws_bucket.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/umbrella.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/vpcflow.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/load_balancers.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_message_processor.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/s3_log_handler.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_queue.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/cloudwatchlogs.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/inspector.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/__init__.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/aws_service.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart.sh,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/firewall-drop,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/host-deny,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/firewalld-drop,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky.py,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/default-firewall-drop,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/npf,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/pf,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ip-customblock,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ipfw,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/route-null,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart-som,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/som-slack,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky,root,som,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/disable-account,root,som,750,file,-rwxr-x---,,
